,output date,output,btc_market_price1,btc_market_price2,btc_market_price3,btc_total_bitcoins1,btc_total_bitcoins2,btc_total_bitcoins3,btc_market_cap1,btc_market_cap2,btc_market_cap3,btc_trade_volume1,btc_trade_volume2,btc_trade_volume3,btc_blocks_size1,btc_blocks_size2,btc_blocks_size3,btc_avg_block_size1,btc_avg_block_size2,btc_avg_block_size3,btc_n_orphaned_blocks1,btc_n_orphaned_blocks2,btc_n_orphaned_blocks3,btc_n_transactions_per_block1,btc_n_transactions_per_block2,btc_n_transactions_per_block3,btc_median_confirmation_time1,btc_median_confirmation_time2,btc_median_confirmation_time3,btc_hash_rate1,btc_hash_rate2,btc_hash_rate3,btc_difficulty1,btc_difficulty2,btc_difficulty3,btc_miners_revenue1,btc_miners_revenue2,btc_miners_revenue3,btc_transaction_fees1,btc_transaction_fees2,btc_transaction_fees3,btc_cost_per_transaction_percent1,btc_cost_per_transaction_percent2,btc_cost_per_transaction_percent3,btc_cost_per_transaction1,btc_cost_per_transaction2,btc_cost_per_transaction3,btc_n_unique_addresses1,btc_n_unique_addresses2,btc_n_unique_addresses3,btc_n_transactions1,btc_n_transactions2,btc_n_transactions3,btc_n_transactions_total1,btc_n_transactions_total2,btc_n_transactions_total3,btc_n_transactions_excluding_popular1,btc_n_transactions_excluding_popular2,btc_n_transactions_excluding_popular3,btc_n_transactions_excluding_chains_longer_than_1001,btc_n_transactions_excluding_chains_longer_than_1002,btc_n_transactions_excluding_chains_longer_than_1003,btc_output_volume1,btc_output_volume2,btc_output_volume3,btc_estimated_transaction_volume1,btc_estimated_transaction_volume2,btc_estimated_transaction_volume3,btc_estimated_transaction_volume_usd1,btc_estimated_transaction_volume_usd2,btc_estimated_transaction_volume_usd3
0,2010-03-02,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-2.2380533557341513,-2.2362915427976024,-2.2342678387488637,-0.3581648114741012,-0.3581648114741012,-0.3581648114741012,-0.2634152868263528,-0.2634152868263528,-0.2634152868263528,-0.8097678525854607,-0.8097678525854607,-0.8097678525854607,-0.9975422141753745,-0.9976960503814146,-0.9974385032699049,-0.43110277901427196,-0.43110277901427196,-0.43110277901427196,-0.9812561373609336,-0.9812561373609336,-0.9812561373609336,-1.5230645304983832,-1.5230645304983832,-1.5230645304983832,-0.41076072558681764,-0.410760725589156,-0.4107607255879128,-0.4201698962886472,-0.4201698962886472,-0.4201698962886472,-0.39561128461871015,-0.39561128461871015,-0.39561128461871015,-0.5187561712394729,-0.5187561712394729,-0.5187561712394729,0.07090614759334202,0.5846501605199079,0.003805444133050523,-0.7043182251128084,-0.7043182251128084,-0.7043182251128084,-0.9351225060668233,-0.9353374593672603,-0.9352132641270078,-0.9893843158254472,-0.9898273523534423,-0.9895769404028364,-0.827516154577368,-0.8275143843930062,-0.8275123073766882,-0.9140542445098548,-0.9144968785183352,-0.9142466940787594,-0.9118248421439908,-0.9124846056323278,-0.9121116958345722,-0.6838314042554856,-0.6867801494812503,-0.677428226003299,-0.7420901747613777,-0.759284957459675,-0.7127020483322445,-0.35889658945097047,-0.35889658945097047,-0.35889658945097047
1,2010-03-03,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-2.2362915427976024,-2.2342678387488637,-2.2322084222757352,-0.3581648114741012,-0.3581648114741012,-0.3581648114741012,-0.2634152868263528,-0.2634152868263528,-0.2634152868263528,-0.8097678525854607,-0.8097678525854607,-0.8097678525854607,-0.9976960503814146,-0.9974385032699049,-0.997705841948163,-0.43110277901427196,-0.43110277901427196,-0.43110277901427196,-0.9812561373609336,-0.9812561373609336,-0.9812561373609336,-1.5230645304983832,-1.5230645304983832,-1.5230645304983832,-0.410760725589156,-0.4107607255879128,-0.41076072558776483,-0.4201698962886472,-0.4201698962886472,-0.4201698962886472,-0.39561128461871015,-0.39561128461871015,-0.39561128461871015,-0.5187561712394729,-0.5187561712394729,-0.5187561712394729,0.5846501605199079,0.003805444133050523,1.090892981593093,-0.7043182251128084,-0.7043182251128084,-0.7043182251128084,-0.9353374593672603,-0.9352132641270078,-0.9352132641270078,-0.9898273523534423,-0.9895769404028364,-0.9895769404028364,-0.8275143843930062,-0.8275123073766882,-0.8275102303603703,-0.9144968785183352,-0.9142466940787594,-0.9142466940787594,-0.9124846056323278,-0.9121116958345722,-0.9121116958345722,-0.6867801494812503,-0.677428226003299,-0.6863395981422966,-0.759284957459675,-0.7127020483322445,-0.7602194565193651,-0.35889658945097047,-0.35889658945097047,-0.35889658945097047
2,2010-03-04,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-2.2342678387488637,-2.2322084222757352,-2.230279951358702,-0.3581648114741012,-0.3581648114741012,-0.3581648114741012,-0.2634152868263528,-0.2634152868263528,-0.2634152868263528,-0.8097678525854607,-0.8097678525854607,-0.8097678525854607,-0.9974385032699049,-0.997705841948163,-0.9975149077997766,-0.43110277901427196,-0.43110277901427196,-0.43110277901427196,-0.9812561373609336,-0.9812561373609336,-0.9812561373609336,-1.5230645304983832,-1.5230645304983832,-1.5230645304983832,-0.4107607255879128,-0.41076072558776483,-0.4107607255883568,-0.4201698962886472,-0.4201698962886472,-0.4201698962886472,-0.39561128461871015,-0.39561128461871015,-0.39561128461871015,-0.5187561712394729,-0.5187561712394729,-0.5187561712394729,0.003805444133050523,1.090892981593093,0.056299854826830406,-0.7043182251128084,-0.7043182251128084,-0.7043182251128084,-0.9352132641270078,-0.9352132641270078,-0.9352658082671147,-0.9895769404028364,-0.9895769404028364,-0.9896828839204004,-0.8275123073766882,-0.8275102303603703,-0.8275082831575722,-0.9142466940787594,-0.9142466940787594,-0.9143525413416568,-0.9121116958345722,-0.9121116958345722,-0.9122694653643919,-0.677428226003299,-0.6863395981422966,-0.6844480000855299,-0.7127020483322445,-0.7602194565193651,-0.7422770745733157,-0.35889658945097047,-0.35889658945097047,-0.35889658945097047
3,2010-03-05,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-2.2322084222757352,-2.230279951358702,-2.2280657810465523,-0.3581648114741012,-0.3581648114741012,-0.3581648114741012,-0.2634152868263528,-0.2634152868263528,-0.2634152868263528,-0.8097678525854607,-0.8097678525854607,-0.8097678525854607,-0.997705841948163,-0.9975149077997766,-0.9976923431129496,-0.43110277901427196,-0.43110277901427196,-0.43110277901427196,-0.9812561373609336,-0.9812561373609336,-0.9812561373609336,-1.5230645304983832,-1.5230645304983832,-1.5230645304983832,-0.41076072558776483,-0.4107607255883568,-0.4107607255870248,-0.4201698962886472,-0.4201698962886472,-0.4201698962886472,-0.39561128461871015,-0.39561128461871015,-0.39561128461871015,-0.5187561712394729,-0.5187561712394729,-0.5187561712394729,1.090892981593093,0.056299854826830406,0.5102463991875767,-0.7043182251128084,-0.7043182251128084,-0.7043182251128084,-0.9352132641270078,-0.9352658082671147,-0.935160719986901,-0.9895769404028364,-0.9896828839204004,-0.9894709968852723,-0.8275102303603703,-0.8275082831575722,-0.8275060763277343,-0.9142466940787594,-0.9143525413416568,-0.9141408468158619,-0.9121116958345722,-0.9122694653643919,-0.9119539263047525,-0.6863395981422966,-0.6844480000855299,-0.685811904780253,-0.7602194565193651,-0.7422770745733157,-0.7581635585880468,-0.35889658945097047,-0.35889658945097047,-0.35889658945097047
4,2010-03-06,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-2.230279951358702,-2.2280657810465523,-2.225732569319771,-0.3581648114741012,-0.3581648114741012,-0.3581648114741012,-0.2634152868263528,-0.2634152868263528,-0.2634152868263528,-0.8097678525854607,-0.8097678525854607,-0.8097678525854607,-0.9975149077997766,-0.9976923431129496,-0.9976368351167575,-0.43110277901427196,-0.43110277901427196,-0.43110277901427196,-0.9812561373609336,-0.9812561373609336,-0.9812561373609336,-1.5230645304983832,-1.5230645304983832,-1.5230645304983832,-0.4107607255883568,-0.4107607255870248,-0.410760725586492,-0.4201698962886472,-0.4201698962886472,-0.4201698962886472,-0.39561128461871015,-0.39561128461871015,-0.39561128461871015,-0.5187561712394729,-0.5187561712394729,-0.5187561712394729,0.056299854826830406,0.5102463991875767,0.18658682164046797,-0.7043182251128084,-0.7043182251128084,-0.7043182251128084,-0.9352658082671147,-0.935160719986901,-0.9350842921467457,-0.9896828839204004,-0.9894709968852723,-0.9893072659944915,-0.8275082831575722,-0.8275060763277343,-0.8275036688770022,-0.9143525413416568,-0.9141408468158619,-0.9139772646822931,-0.9122694653643919,-0.9119539263047525,-0.9117101006677584,-0.6844480000855299,-0.685811904780253,-0.6848876712020282,-0.7422770745733157,-0.7581635585880468,-0.7521827646060305,-0.35889658945097047,-0.35889658945097047,-0.35889658945097047
5,2010-03-07,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-2.2280657810465523,-2.225732569319771,-2.223970756383222,-0.3581648114741012,-0.3581648114741012,-0.3581648114741012,-0.2634152868263528,-0.2634152868263528,-0.2634152868263528,-0.8097678525854607,-0.8097678525854607,-0.8097678525854607,-0.9976923431129496,-0.9976368351167575,-0.9977150694263712,-0.43110277901427196,-0.43110277901427196,-0.43110277901427196,-0.9812561373609336,-0.9812561373609336,-0.9812561373609336,-1.5230645304983832,-1.5230645304983832,-1.5230645304983832,-0.4107607255870248,-0.410760725586492,-0.410760725589156,-0.4201698962886472,-0.4201698962886472,-0.4201698962886472,-0.39561128461871015,-0.39561128461871015,-0.39561128461871015,-0.5187561712394729,-0.5187561712394729,-0.5187561712394729,0.5102463991875767,0.18658682164046797,1.6981985898846303,-0.7043182251128084,-0.7043182251128084,-0.7043182251128084,-0.935160719986901,-0.9350842921467457,-0.9353374593672603,-0.9894709968852723,-0.9893072659944915,-0.9898177211245728,-0.8275060763277343,-0.8275036688770022,-0.8275018868914112,-0.9141408468158619,-0.9139772646822931,-0.91448725603989,-0.9119539263047525,-0.9117101006677584,-0.9124702629477988,-0.685811904780253,-0.6848876712020282,-0.6869781995337271,-0.7581635585880468,-0.7521827646060305,-0.7609670557671171,-0.35889658945097047,-0.35889658945097047,-0.35889658945097047
6,2010-03-08,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-2.225732569319771,-2.223970756383222,-2.221804202636925,-0.3581648114741012,-0.3581648114741012,-0.3581648114741012,-0.2634152868263528,-0.2634152868263528,-0.2634152868263528,-0.8097678525854607,-0.8097678525854607,-0.8097678525854607,-0.9976368351167575,-0.9977150694263712,-0.9975026971070503,-0.43110277901427196,-0.43110277901427196,-0.43110277901427196,-0.9812561373609336,-0.9812561373609336,-0.9812561373609336,-1.5230645304983832,-1.5230645304983832,-1.5230645304983832,-0.410760725586492,-0.410760725589156,-0.4107607255872616,-0.4201698962886472,-0.4201698962886472,-0.4201698962886472,-0.39561128461871015,-0.39561128461871015,-0.39561128461871015,-0.5187561712394729,-0.5187561712394729,-0.5187561712394729,0.18658682164046797,1.6981985898846303,0.01771411446851932,-0.7043182251128084,-0.7043182251128084,-0.7043182251128084,-0.9350842921467457,-0.9353374593672603,-0.935160719986901,-0.9893072659944915,-0.9898177211245728,-0.9894709968852723,-0.8275036688770022,-0.8275018868914112,-0.8274996800615734,-0.9139772646822931,-0.91448725603989,-0.9141408468158619,-0.9117101006677584,-0.9124702629477988,-0.9119539263047525,-0.6848876712020282,-0.6869781995337271,-0.6818068926079457,-0.7521827646060305,-0.7609670557671171,-0.7234001935675765,-0.35889658945097047,-0.35889658945097047,-0.35889658945097047
7,2010-03-09,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-2.223970756383222,-2.221804202636925,-2.2197209778808706,-0.3581648114741012,-0.3581648114741012,-0.3581648114741012,-0.2634152868263528,-0.2634152868263528,-0.2634152868263528,-0.8097678525854607,-0.8097678525854607,-0.8097678525854607,-0.9977150694263712,-0.9975026971070503,-0.9970254052354497,-0.43110277901427196,-0.43110277901427196,-0.43110277901427196,-0.9812561373609336,-0.9812561373609336,-0.9812561373609336,-1.5230645304983832,-1.5230645304983832,-1.5230645304983832,-0.410760725589156,-0.4107607255872616,-0.4107607255876465,-0.4201698962886472,-0.4201698962886472,-0.4201698962886472,-0.39561128461871015,-0.39561128461871015,-0.39561128461871015,-0.5187561712394729,-0.5187561712394729,-0.5187561712394729,1.6981985898846303,0.01771411446851932,-0.007249038007771257,-0.7043182251128084,-0.7043182251128084,-0.7043182251128084,-0.9353374593672603,-0.935160719986901,-0.9352037106469884,-0.9898177211245728,-0.9894709968852723,-0.9895576779450974,-0.8275018868914112,-0.8274996800615734,-0.8274975794427973,-0.91448725603989,-0.9141408468158619,-0.9142274491218689,-0.9124702629477988,-0.9119539263047525,-0.912083010465514,-0.6869781995337271,-0.6818068926079457,-0.6780659471722741,-0.7609670557671171,-0.7234001935675765,-0.690318926854548,-0.35889658945097047,-0.35889658945097047,-0.35889658945097047
8,2010-03-10,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-2.221804202636925,-2.2197209778808706,-2.2175425199931103,-0.3581648114741012,-0.3581648114741012,-0.3581648114741012,-0.2634152868263528,-0.2634152868263528,-0.2634152868263528,-0.8097678525854607,-0.8097678525854607,-0.8097678525854607,-0.9975026971070503,-0.9970254052354497,-0.9975608599677148,-0.43110277901427196,-0.43110277901427196,-0.43110277901427196,-0.9812561373609336,-0.9812561373609336,-0.9812561373609336,-1.5230645304983832,-1.5230645304983832,-1.5230645304983832,-0.4107607255872616,-0.4107607255876465,-0.41076072558720245,-0.4201698962886472,-0.4201698962886472,-0.4201698962886472,-0.39561128461871015,-0.39561128461871015,-0.39561128461871015,-0.5187561712394729,-0.5187561712394729,-0.5187561712394729,0.01771411446851932,-0.007249038007771257,-0.011343637302647898,-0.7043182251128084,-0.7043182251128084,-0.7043182251128084,-0.935160719986901,-0.9352037106469884,-0.935160719986901,-0.9894709968852723,-0.9895576779450974,-0.9894613656564029,-0.8274996800615734,-0.8274975794427973,-0.8274953608117304,-0.9141408468158619,-0.9142274491218689,-0.9141312243374167,-0.9119539263047525,-0.912083010465514,-0.9119395836202234,-0.6818068926079457,-0.6780659471722741,-0.6759105508467207,-0.7234001935675765,-0.690318926854548,-0.6735128957650819,-0.35889658945097047,-0.35889658945097047,-0.35889658945097047
9,2010-03-11,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-0.3739914444972895,-2.2197209778808706,-2.2175425199931103,-2.2154831035199822,-0.3581648114741012,-0.3581648114741012,-0.3581648114741012,-0.2634152868263528,-0.2634152868263528,-0.2634152868263528,-0.8097678525854607,-0.8097678525854607,-0.8097678525854607,-0.9970254052354497,-0.9975608599677148,-0.9975052565535607,-0.43110277901427196,-0.43110277901427196,-0.43110277901427196,-0.9812561373609336,-0.9812561373609336,-0.9812561373609336,-1.5230645304983832,-1.5230645304983832,-1.5230645304983832,-0.4107607255876465,-0.41076072558720245,-0.41076072558776483,-0.4201698962886472,-0.4201698962886472,-0.4201698962886472,-0.39561128461871015,-0.39561128461871015,-0.39561128461871015,-0.5187561712394729,-0.5187561712394729,-0.5187561712394729,-0.007249038007771257,-0.011343637302647898,0.03301524658083807,-0.7043182251128084,-0.7043182251128084,-0.7043182251128084,-0.9352037106469884,-0.935160719986901,-0.9352084873869981,-0.9895576779450974,-0.9894613656564029,-0.9895576779450974,-0.8274975794427973,-0.8274953608117304,-0.8274932601929543,-0.9142274491218689,-0.9141312243374167,-0.9142274491218689,-0.912083010465514,-0.9119395836202234,-0.912083010465514,-0.6780659471722741,-0.6759105508467207,-0.6831932429752828,-0.690318926854548,-0.6735128957650819,-0.7336609932429733,-0.35889658945097047,-0.35889658945097047,-0.35889658945097047
